outcome,term,beta_with_ahpvt,beta_without_ahpvt,pct_shrinkage_from_adjustment,flag_large_shift
C4WD90_1,idgx2,0.0114586954372163,0.0120631639032259,0.0501086175118582,False
W4_COG_COMP,bcent10x,0.0911020003296028,0.1079457538327027,0.15603905577615226,False
W4_COG_COMP,friend_contact,0.0013416131378427,0.0039573874509456,0.6609851437412003,True
W4_COG_COMP,friend_disclose,0.0399752633785333,0.1185839280151543,0.6628947611397668,True
W4_COG_COMP,friend_n,0.0048310474887726,0.0092317696961844,0.47669324000041624,False
W4_COG_COMP,idg_leq1,-0.0817297616338064,-0.1011865392798996,0.19228622487297806,False
W4_COG_COMP,idg_zero,-0.044155664136998,-0.0602902307250596,0.2676149418243191,False
W4_COG_COMP,idgx2,0.0092638231013647,0.0103986122773873,0.10912890544926837,False
W4_COG_COMP,odgx2_placebo,0.0142335243893996,0.0179409545148311,0.20664620281862423,False
W4_COG_COMP,prxprest,0.3825195408305865,0.2066049300025526,-0.8514540811095866,True
W4_COG_COMP,reach,2.695388349568835e-05,0.0001172758700033,0.7701668425488559,True
W4_COG_COMP,school_belong,0.0035919378281917,0.0029845151285485,-0.2035247514187057,False
